series_key,model_name,horizon,metric_name,legacy_value,new_value,abs_difference,within_tolerance
APC-MSIT,FixedGrowth_3,30,MAE,107.277152195,107.27715219500006,5.684341886080802e-14,True
APC-MSIT,FixedGrowth_4,30,MAE,127.87929748,127.87929748000006,5.684341886080802e-14,True
APC-MSIT,FixedGrowth_6,30,MAE,175.109493553333,175.10949355333335,3.410605131648481e-13,True
APC-MSIT,FNAR-V2,30,MAE,131.61243425,131.6124342500001,8.526512829121202e-14,True
APC-MSIT,LightGBM,30,MAE,104.029963565846,104.02996356584616,1.5631940186722204e-13,True
APC-MSIT,LinearRegression,30,MAE,93.4817830242242,93.4817830242242,0.0,True
APC-MSIT,NLIN-DLIN_FIXED,30,MAE,114.405211583333,114.40521158333335,3.552713678800501e-13,True
APC-MSIT,SMLP-TCN,30,MAE,141.978892916667,141.9788929166667,3.126388037344441e-13,True
APC-MSIT,Theta,30,MAE,148.997710607048,148.9977106070484,3.979039320256561e-13,True
APC-MSIT,XGBoost,30,MAE,83.9393674856771,83.93936748567712,2.842170943040401e-14,True
APC-Multitenant,ARIMA_Fixed,30,MAE,386999.646769999,386999.64676999947,4.656612873077393e-10,True
APC-Multitenant,AutoARIMA,30,MAE,37647.8250097642,37647.82500976415,5.093170329928398e-11,True
APC-Multitenant,ETS Explicit,30,MAE,36293.1361761836,36293.1361761836,0.0,True
APC-Multitenant,ETS_Current,30,MAE,105402.370832732,105402.37083273196,4.3655745685100555e-11,True
APC-Multitenant,FixedGrowth_1_5,30,MAE,34988.4682627529,34988.46826275291,1.4551915228366852e-11,True
APC-Multitenant,FixedGrowth_3,30,MAE,36146.2811644325,36146.28116443246,3.637978807091713e-11,True
APC-Multitenant,FixedGrowth_4,30,MAE,39919.8146857433,39919.81468574331,7.275957614183426e-12,True
APC-Multitenant,FixedGrowth_6,30,MAE,48220.225351515,48220.22535151497,2.9103830456733704e-11,True
APC-Multitenant,FNAR-V2,30,MAE,210126.947092083,210126.94709208337,3.7834979593753815e-10,True
APC-Multitenant,LightGBM,30,MAE,43440.3151770497,43440.315177049735,3.637978807091713e-11,True
APC-Multitenant,LinearRegression,30,MAE,30467.9511716565,30467.951171656456,4.3655745685100555e-11,True
APC-Multitenant,NLIN-DLIN_FIXED,30,MAE,27717.0443029167,27717.044302916667,3.2741809263825417e-11,True
APC-Multitenant,SMLP-TCN,30,MAE,34302.71646175,34302.71646175,0.0,True
APC-Multitenant,Theta,30,MAE,38423.0683452577,38423.0683452577,0.0,True
APC-Multitenant,XGBoost,30,MAE,36090.01119175,36090.01119175,0.0,True
ARE-Go Local,ARIMA_Fixed,30,MAE,5680.4837546668,5680.483754666796,4.547473508864641e-12,True
ARE-Go Local,AutoARIMA,30,MAE,1912.02824889319,1912.0282488931944,4.320099833421409e-12,True
ARE-Go Local,ETS Explicit,30,MAE,2283.57608470089,2283.576084700893,2.7284841053187847e-12,True
ARE-Go Local,ETS_Current,30,MAE,3364.40233373294,3364.402333732938,1.8189894035458565e-12,True
ARE-Go Local,FixedGrowth_1_5,30,MAE,2082.653164115,2082.653164115,0.0,True
ARE-Go Local,FixedGrowth_3,30,MAE,2318.664580225,2318.664580225005,5.002220859751105e-12,True
ARE-Go Local,FixedGrowth_4,30,MAE,2697.20328188667,2697.2032818866683,1.8189894035458565e-12,True
ARE-Go Local,FixedGrowth_6,30,MAE,3510.31988799667,3510.319887996668,1.8189894035458565e-12,True
ARE-Go Local,FNAR-V2,30,MAE,11095.27307525,11095.27307525,0.0,True
ARE-Go Local,LightGBM,30,MAE,2325.05881599719,2325.0588159971944,4.547473508864641e-12,True
ARE-Go Local,LinearRegression,30,MAE,2162.91561478991,2162.915614789909,9.094947017729282e-13,True
ARE-Go Local,NLIN-DLIN_FIXED,30,MAE,3994.36643475,3994.36643475,0.0,True
ARE-Go Local,SMLP-TCN,30,MAE,2443.3887925,2443.388792499998,1.8189894035458565e-12,True
ARE-Go Local,Theta,30,MAE,2102.82879314017,2102.82879314017,0.0,True
ARE-Go Local,XGBoost,30,MAE,2236.82253404167,2236.8225340416666,3.637978807091713e-12,True
AUS-Go Local,ARIMA_Fixed,30,MAE,660770.151073583,660770.1510735835,4.656612873077393e-10,True
AUS-Go Local,AutoARIMA,30,MAE,42899.4960762585,42899.49607625853,2.9103830456733704e-11,True
AUS-Go Local,ETS Explicit,30,MAE,43411.1458586018,43411.1458586018,0.0,True
AUS-Go Local,ETS_Current,30,MAE,138509.564994674,138509.56499467418,1.7462298274040222e-10,True
AUS-Go Local,FixedGrowth_1_5,30,MAE,43922.4571751875,43922.45717518751,1.4551915228366852e-11,True
AUS-Go Local,FixedGrowth_3,30,MAE,47511.6590241667,47511.65902416666,3.637978807091713e-11,True
AUS-Go Local,FixedGrowth_4,30,MAE,49992.5673659167,49992.56736591668,2.1827872842550278e-11,True
AUS-Go Local,FixedGrowth_6,30,MAE,54954.3840494167,54954.38404941667,2.9103830456733704e-11,True
AUS-Go Local,FNAR-V2,30,MAE,5558174.33519058,5558174.335190583,2.7939677238464355e-09,True
AUS-Go Local,LightGBM,30,MAE,35887.6456014759,35887.64560147589,1.4551915228366852e-11,True
AUS-Go Local,LinearRegression,30,MAE,32366.6896046696,32366.68960466956,4.001776687800884e-11,True
AUS-Go Local,NLIN-DLIN_FIXED,30,MAE,51596.0175745,51596.0175745,0.0,True
AUS-Go Local,SMLP-TCN,30,MAE,39413.729273,39413.72927299999,7.275957614183426e-12,True
AUS-Go Local,Theta,30,MAE,39856.9224228256,39856.9224228256,0.0,True
AUS-Go Local,XGBoost,30,MAE,27408.0918279167,27408.09182791667,3.2741809263825417e-11,True
APC-Dedicated,ARIMA_Fixed,5,RMSE,77.3272384070321,77.32723840703216,5.684341886080802e-14,True
APC-Dedicated,AutoARIMA,5,RMSE,208.578743353299,208.57874335329916,1.7053025658242404e-13,True
APC-Dedicated,ETS Explicit,5,RMSE,221.024594880151,221.02459488015052,4.831690603168681e-13,True
APC-Dedicated,ETS_Current,5,RMSE,201.155082097758,201.15508209775848,4.831690603168681e-13,True
APC-Dedicated,FixedGrowth_1_5,5,RMSE,24.2076823383707,24.207682338370663,3.552713678800501e-14,True
APC-Dedicated,FixedGrowth_3,5,RMSE,26.5672604474256,26.567260447425607,7.105427357601002e-15,True
APC-Dedicated,FixedGrowth_4,5,RMSE,28.2634226400121,28.26342264001207,2.842170943040401e-14,True
APC-Dedicated,FixedGrowth_6,5,RMSE,31.8800371548656,31.88003715486555,4.973799150320701e-14,True
APC-Dedicated,FNAR-V2,5,RMSE,364.502931999175,364.50293199917496,5.684341886080802e-14,True
APC-Dedicated,LightGBM,5,RMSE,31.176586444209,31.176586444209036,3.552713678800501e-14,True
