metric_id,db_type,scenario,granularity,entity_key,forecast_version,key_namespace,unit,source_object,source_file,source_object_count,row_count,n_windows,avg_mape,max_mape,avg_smape,avg_rmse,avg_mae,avg_bias_pct,avg_accuracy,min_accuracy,evaluation_start_min,evaluation_end_max,availability_status,computability_status,not_computable_reason,single_version_accuracy_only,contract_version,rank_mape_within_partition
hdd_edb,EDB,not_applicable,forest,NAMP158,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,0.815,1.11,0.81875,5.725,5.69125,-0.815,99.185,98.89,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,48
hdd_edb,EDB,not_applicable,forest,NAMP159,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,1.016667,1.33,1.02,0.04,0.04,-1.016667,98.983333,98.67,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,89
hdd_edb,EDB,not_applicable,forest,NAMP161,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.218889,0.22,0.218889,7.3,7.26,-0.218889,99.781111,99.78,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,27
hdd_edb,EDB,not_applicable,forest,NAMP161,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,0.105,0.14,0.105,3.635625,3.46625,-0.005,99.895,99.86,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,4
hdd_edb,EDB,not_applicable,forest,NAMP161,2026-05-01 03:35:00,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,32,32,1.070625,1.37,1.064063,35.950938,35.312812,1.069375,98.929375,98.63,2026-05-01,2026-06-09,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,56
hdd_edb,EDB,not_applicable,forest,NAMP162,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,2.743333,3.01,2.781111,21.264444,21.234444,-2.743333,97.256667,96.99,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,116
hdd_edb,EDB,not_applicable,forest,NAMP163,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.508889,0.57,0.512222,4.546667,4.533333,-0.508889,99.491111,99.43,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,55
hdd_edb,EDB,not_applicable,forest,NAMP164,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.081111,0.09,0.081111,0.621111,0.565556,0.062222,99.918889,99.91,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,7
hdd_edb,EDB,not_applicable,forest,NAMP166,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.937778,0.98,0.933333,9.49,9.481111,0.937778,99.062222,99.02,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,83
hdd_edb,EDB,not_applicable,forest,NAMP166,2026-05-01 03:35:00,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,32,32,0.633437,0.87,0.635,6.628438,6.595937,-0.633437,99.366563,99.13,2026-05-01,2026-06-09,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,34
